Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain high,Pool,mg dry mass m-2,67.14,122.6,26.15
Diptera,Empidiae,Chelifera,North St. Vrain high,Pool,mg dry mass m-2,16.16,40.89,1.86
Diptera,Empidiae,Empididae group,North St. Vrain high,Pool,mg dry mass m-2,1.79,3.64,< 0.01
Diptera,N/A,Diamesinae/Prodiamesinae group,North St. Vrain high,Pool,mg dry mass m-2,6.92,12.64,2.41
Diptera,N/A,Dixidae/Sciaridae group,North St. Vrain high,Pool,mg dry mass m-2,1.83,5.41,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain high,Pool,mg dry mass m-2,105.39,209.79,26.47
Diptera,Orthocladinae,Corynoneura,North St. Vrain high,Pool,mg dry mass m-2,11.18,15.44,7.36
Diptera,Orthocladinae,Eukiefferiella,North St. Vrain high,Pool,mg dry mass m-2,5.18,8.39,1.94
Diptera,Orthocladinae,Heleniella,North St. Vrain high,Pool,mg dry mass m-2,40.28,71.91,14.02
Diptera,Orthocladinae,Heterotrissocladius,North St. Vrain high,Pool,mg dry mass m-2,28.1,42.52,12.47
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain high,Pool,mg dry mass m-2,383.77,606.81,174.16
Diptera,Orthocladinae,Krenosmittia,North St. Vrain high,Pool,mg dry mass m-2,7.67,11.85,4.11
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain high,Pool,mg dry mass m-2,227.72,311.58,151.29
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain high,Pool,mg dry mass m-2,16.97,36.24,3.71
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain high,Pool,mg dry mass m-2,0.69,1.69,< 0.01
Diptera,Tanypodinae,Macropelopia,North St. Vrain high,Pool,mg dry mass m-2,31.13,54.87,10.28
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain high,Pool,mg dry mass m-2,28.42,54.46,8.87
Diptera,Tipulidae,Dicranota,North St. Vrain high,Pool,mg dry mass m-2,84.08,162.77,25.27
Diptera,Tipulidae,Tipulidae group,North St. Vrain high,Pool,mg dry mass m-2,99.2,157.34,47.44
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain high,Pool,mg dry mass m-2,14.95,27.25,4.33
Ephemeroptera,Baetidae,Baetis,North St. Vrain high,Pool,mg dry mass m-2,10.37,25.34,1.55
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain high,Pool,mg dry mass m-2,3.61,5.4,1.69
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain high,Pool,mg dry mass m-2,3.09,9.77,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain high,Pool,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain high,Pool,mg dry mass m-2,12.19,22.1,3.11
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain high,Pool,mg dry mass m-2,31.38,59.66,9.07
Oligochaeta,N/A,Oligochaeta,North St. Vrain high,Pool,mg dry mass m-2,132.33,238.95,50.36
Ostracoda,N/A,Ostracoda,North St. Vrain high,Pool,mg dry mass m-2,204.64,296.94,116.93
Plecoptera,Capniidae,Utacapnia,North St. Vrain high,Pool,mg dry mass m-2,5.04,10.26,1.8
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain high,Pool,mg dry mass m-2,234.71,350.8,137.31
Plecoptera,Leuctridae,Perlomyia,North St. Vrain high,Pool,mg dry mass m-2,1.7,4.08,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain high,Pool,mg dry mass m-2,123.77,198.72,60.09
Plecoptera,Nemouridae,Zapada,North St. Vrain high,Pool,mg dry mass m-2,44.22,79.67,15.27
Plecoptera,Perlidae,Hersperoperla,North St. Vrain high,Pool,mg dry mass m-2,9.52,19.32,< 0.01
Tricoptera,Brachycentridae,Micrasema,North St. Vrain high,Pool,mg dry mass m-2,0.16,0.44,< 0.01
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain high,Pool,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain high,Pool,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain high,Pool,mg dry mass m-2,78.35,145.31,23.55
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain high,Pool,mg dry mass m-2,1.71,4.82,< 0.01
Arachnida ,N/A,Arachnida ,North St. Vrain high,Riffle,mg dry mass m-2,0.01,0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain high,Riffle,mg dry mass m-2,126.62,171.97,80.27
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain high,Riffle,mg dry mass m-2,0.8,0.94,0.65
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain high,Riffle,mg dry mass m-2,9.54,23.52,0.28
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain high,Riffle,mg dry mass m-2,3.59,5.07,2.35
Diptera,Chironominae,Chironominae group,North St. Vrain high,Riffle,mg dry mass m-2,44.7,97.1,13.95
Diptera,Chironominae,Polypedilum,North St. Vrain high,Riffle,mg dry mass m-2,0.28,0.69,< 0.01
Diptera,Chironominae,Stempellinella,North St. Vrain high,Riffle,mg dry mass m-2,0.44,0.83,0.11
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain high,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain high,Riffle,mg dry mass m-2,10.57,18.53,4.34
Diptera,Empidiae,Empididae group,North St. Vrain high,Riffle,mg dry mass m-2,6.73,14.57,1.32
Diptera,N/A,Diamesinae/Prodiamesinae group,North St. Vrain high,Riffle,mg dry mass m-2,6.59,10.06,3.3
Diptera,N/A,Dixidae/Sciaridae group,North St. Vrain high,Riffle,mg dry mass m-2,0.02,0.06,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain high,Riffle,mg dry mass m-2,3.84,6.59,1.54
Diptera,Orthocladinae,Corynoneura,North St. Vrain high,Riffle,mg dry mass m-2,9.16,16.86,2.97
Diptera,Orthocladinae,Eukiefferiella,North St. Vrain high,Riffle,mg dry mass m-2,26.53,50.24,8.12
Diptera,Orthocladinae,Heleniella,North St. Vrain high,Riffle,mg dry mass m-2,9.76,12.8,6.56
Diptera,Orthocladinae,Heterotrissocladius,North St. Vrain high,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain high,Riffle,mg dry mass m-2,3.87,9.18,0.32
Diptera,Orthocladinae,Krenosmittia,North St. Vrain high,Riffle,mg dry mass m-2,17.84,37.11,6.57
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain high,Riffle,mg dry mass m-2,160.07,277.57,84.48
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain high,Riffle,mg dry mass m-2,7.74,13.06,2.62
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain high,Riffle,mg dry mass m-2,3.92,7.94,0.49
