Supplemental table S6,,,,,,,,
,,,,,,,,
Highest classification,Lowest classification,Site,Date,Habitat,Units,Mean,Standard deviation,# replicates
Ephemeroptera,Leptophlebiidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.05,0.09,4
Plecoptera,Chloroperlidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.6,0.78,4
Plecoptera,Perlidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,1.17,1.39,4
Plecoptera,Perlodidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.14,0.27,4
Trichoptera,Glossosomatidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.02,0.04,4
Trichoptera,Hydropsychidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.06,4
Trichoptera,Limnephelidae,South Fork Pourde,4-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.42,0.14,4
Diptera,Chironomidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.47,0.17,4
Diptera,Dixidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.01,0.03,4
Diptera,Empididae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.38,0.49,4
Diptera,Tipulidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.08,0.15,4
Ephemeroptera,Ameletidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.06,0.13,4
Ephemeroptera,Ephemeroptera group,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.03,0.05,4
Ephemeroptera,Leptophlebiidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.01,0.03,4
Plecoptera,Chloroperlidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.12,0.23,4
Trichoptera,Brachycentridae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,2.51,4.73,4
Trichoptera,Lepidostomatidae,South Fork Pourde,31-Jul-2013,Pool,mg dry mass m-2 hr-1,0.1,0.12,4
Diptera,Chironomidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.2,0.13,3
Diptera,Empididae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.79,1.1,3
Diptera,Simuliidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.02,0.04,3
Diptera,Tipulidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.05,0.08,3
Ephemeroptera,Baetidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.23,0.1,3
Trichoptera,Brachycentridae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.98,0.32,3
Trichoptera,Hydropsychidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.12,0.2,3
Trichoptera,Lepidostomatidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.34,0.45,3
Trichoptera,Limnephelidae,South Fork Pourde,31-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.05,0.09,3
Diptera,Chironomidae,South Fork Pourde,8-Sep-2013,Pool,mg dry mass m-2 hr-1,0.91,0.59,4
Diptera,Empididae,South Fork Pourde,8-Sep-2013,Pool,mg dry mass m-2 hr-1,0.02,0.04,4
Ephemeroptera,Baetidae,South Fork Pourde,8-Sep-2013,Pool,mg dry mass m-2 hr-1,0.01,0.02,4
